type;breaking_coefficient (adim.);weight (daN/m);section (mm2);diameter (mm);elastic_modulus (daN/mm2);coefficient_linear_thermal_expansion (ºC-1);breaking_tension (daN);wind_pressure (daN/mm2);voltages (kv)
47-AL1/8-ST1A;3;0.1891;54.6;9.45;7900;0.0000191;1640;60;400,220,132,66,20
67-AL1/11-ST1A;3;0.272;78.6;11.34;7900;0.0000191;2310;60;400,220,132,66,20
100-AL1/17-ST1A;3;0.404;116.7;13.8;7900;0.0000191;3433;60;400,220,132,66,20
107-AL1/18-ST1A;3;0.433;125.1;14.31;7900;0.0000191;3680;60;400,220,132,66,20
152-AL1/25-ST1A;3;0.613;176.7;17.28;7500;0.0000189;5500;50;400,220,132,66,20
147-AL1/34-ST1A;3;0.676;181.6;17.5;8000;0.0000178;6390;50;400,220,132,66,20
242-AL1/39-ST1A;3;0.977;281.1;21.8;7500;0.0000189;8450;50;400,220,132,66,20
337-AL1/44-ST1A;3;1.275;381;25.38;6900;0.0000193;10650;50;400,220,132,66,20
402-AL1/52-ST1A;3;1.521;454.5;27.72;6900;0.0000193;12400;50;400,220,132,66,20
483-AL1/33-ST1A;3;1.6;516.8;29.59;6600;0.0000209;11580;50;400,220,132,66,20
485-AL1/63-ST1A;3;1.832;547.3;30.42;6900;0.0000193;14850;50;400,220,132,66,20
565-AL1/72-ST1A;3;2.125;636.6;32.85;6700;0.0000194;17500;50;400,220,132,66,20
806-AL1/56-ST1A;3;2.666;861.3;38.16;6600;0.0000209;18700;50;400,220,132,66,20
